Transaction Name,Round,Round - Classification,Investor Names,Organization Name,Funding Type,Money Raised (in USD),Announced Date,Announce Year,Lead Investors,Pre-Money Valuation (in USD),Total Funding Amount (in USD),Estimated Valuation
Series C - Sidecar Health,Series C,Late-stage,"Alpha Edison, Bond, Cathay Innovation, Drive Capital, GreatPoint Ventures, Menlo Ventures, Tiger Global Management",Sidecar Health,Series C,"$125,000,000 ",1/26/21,2021,Drive Capital,"$875,000,000 ","$328,000,000 ",38.11%
Series E - Moglix,Series E,Venture-Growth,"Alpha Wave Global, Harvard Management Company, Peak XV Partners, Tiger Global Management, Venture Highway",Moglix,Series E,"$120,000,000 ",5/17/21,2021,"Alpha Wave Global, Harvard Management Company","$880,000,000 ","$472,208,452 ",25.41%
Series G - Sumo Logic,Series G,Venture-Growth,"Battery Ventures, Employee Stock Option Fund, Franklin Templeton, Tiger Global Management",Sumo Logic,Series G,"$110,000,000 ",5/8/19,2019,Battery Ventures,"$890,000,000 ","$340,000,000 ",32.35%
Series E - Mark43,Series E,Venture-Growth,"Avenir, Empede Capital, General Catalyst, Goldman Sachs, HighSage Ventures, Lucy Turnbull, Malcolm Turnbull, Radcliff Group, Spark Capital, The Spruce House Partnership, Tiger Global Management",Mark43,Series E,"$101,000,000 ",7/12/21,2021,"The Spruce House Partnership, Tiger Global Management","$899,000,000 ","$268,824,992 ",37.57%
Series C - Moka,Series C,Late-stage,"Blue Lake Capital, GGV Capital, GL Ventures LLC, GSR Ventures, Tiger Global Management",Moka,Series C,"$100,000,000 ",11/1/21,2021,Tiger Global Management,"$900,000,000 ","$144,251,454 ",69.32%
Series E - Vedantu,Series E,Venture-Growth,"100Unicorns, ABC World Asia, Coatue, Notable Capital, Tiger Global Management, WestBridge Capital",Vedantu,Series E,"$100,000,000 ",9/29/21,2021,ABC World Asia,"$900,000,000 ","$295,185,958 ",33.88%
Series D - Amperity,Series D,Late-stage,"Declaration Partners, HighSage Ventures, Madera Technology Partners, Madrona, Tiger Global Management",Amperity,Series D,"$100,000,000 ",7/13/21,2021,HighSage Ventures,"$900,000,000 ","$187,000,000 ",53.48%
Series C - Infra.Market,Series C,Late-stage,"Accel, Evolvence India Fund, Foundamental, Nexus Venture Partners, Sistema Asia Capital, Tiger Global Management",Infra.Market,Series C,"$100,000,000 ",2/25/21,2021,Tiger Global Management,"$900,000,000 ","$726,633,355 ",13.76%
Series D - Razorpay,Series D,Late-stage,"GIC, Peak XV Partners, Ribbit Capital, Tiger Global Management, Y Combinator, Z47",Razorpay,Series D,"$100,000,000 ",10/12/20,2020,"GIC, Peak XV Partners","$900,000,000 ","$816,309,769 ",12.25%
Series E - SentinelOne,Series E,Venture-Growth,"Accel, DCVC, Insight Partners, Irving Investors, NextEquity Partners, Qualcomm Ventures, Redpoint, Samsung Ventures, Sound Ventures, The Westly Group, Third Point Ventures, Tiger Global Management, UpWest, Vista Equity Partners",SentinelOne,Series E,"$200,000,000 ",2/19/20,2020,Insight Partners,"$900,000,000 ","$696,520,000 ",28.71%
Series D - Weave,Series D,Late-stage,"Bessemer Venture Partners, Blue Cloud Ventures, Catalyst Investors, Crosslink Capital, Future Shape, Lead Edge Capital, Pelion Venture Partners, Stereo Capital, Tiger Global Management",Weave,Series D,"$70,000,000 ",10/24/19,2019,Tiger Global Management,"$900,000,000 ","$168,000,000 ",41.67%
Series E - Pendo,Series E,Venture-Growth,"Battery Ventures, Cross Creek, FirstMark, General Atlantic, Geodesic Capital, Meritech Capital Partners, Sapphire Ventures, Tiger Global Management",Pendo,Series E,"$100,000,000 ",10/17/19,2019,Sapphire Ventures,"$900,000,000 ","$479,412,849 ",20.86%
Series E - Postmates,Series E,Venture-Growth,Tiger Global Management,Postmates,Series E,"$300,000,000 ",9/18/18,2018,Tiger Global Management,"$900,000,000 ","$762,950,000 ",39.32%
Series D - Root Insurance,Series D,Late-stage,"Redpoint, Ribbit Capital, Scale Venture Partners, Tiger Global Management",Root Insurance,Series D,"$100,000,000 ",8/22/18,2018,Tiger Global Management,"$900,000,000 ","$827,500,000 ",12.08%
Series D - Groww,Series D,Late-stage,"Peak XV Partners, Propel, Ribbit Capital, Tiger Global Management, Y Combinator Continuity Fund",Groww,Series D,"$83,062,674 ",4/7/21,2021,Tiger Global Management,"$916,546,576 ","$418,262,674 ",19.86%
Series D - BigID,Series D,Late-stage,"Bessemer Venture Partners, boldstart ventures, Glynn Capital Management, Salesforce Ventures, Scale Venture Partners, Tiger Global Management",BigID,Series D,"$70,000,000 ",12/16/20,2020,"Salesforce Ventures, Tiger Global Management","$930,000,000 ","$306,099,999 ",22.87%
Series D - Qualia,Series D,Late-stage,"8VC, 9Yards Capital, LeFrak, Menlo Ventures, Tiger Global Management",Qualia,Series D,"$65,000,000 ",12/21/20,2020,Tiger Global Management,"$935,000,000 ","$160,000,000 ",40.63%
Series B - JOKR,Series B,Early-stage,"Activant Capital, Balderton Capital, Banana Capital, G Squared, Greycroft, HV Capital, Karman Ventures (fka Moving Capital), Market One Capital, Notable Capital, Ralf Wenzel, SoftBank, Tiger Global Management",JOKR,Series B,"$260,000,000 ",12/2/21,2021,,"$940,000,000 ","$530,000,000 ",49.06%
Series E - Lattice,Series E,Venture-Growth,"Bossanova Investimentos, Founders Fund, Frontline Ventures, Fuel Capital, Khosla Ventures, Shasta Ventures, Thrive Capital, Tiger Global Management",Lattice,Series E,"$60,000,000 ",3/23/21,2021,Tiger Global Management,"$940,000,000 ","$330,320,000 ",18.16%
Private Equity Round - Ivalua,Private Equity Round,Venture-Growth,"Ardian, Tiger Global Management",Ivalua,Private Equity,"$60,000,000 ",5/21/19,2019,"Ardian, Tiger Global Management","$940,000,000 ","$134,378,999 ",44.65%
Series D - HoneyBook,Series D,Late-stage,"01 Advisors, Battery Ventures, Citi Ventures, Durable Capital Partners, Norwest Venture Partners, OurCrowd, Tiger Global Management, Zeev Ventures",HoneyBook,Series D,"$155,000,000 ",5/4/21,2021,Durable Capital Partners,"$945,000,000 ","$498,000,000 ",31.12%
Series C - Sendbird,Series C,Late-stage,"Emergence, Holland George Capital Management, ICONIQ Growth, Meritech Capital Partners, SoftBank Vision Fund, Steadfast Financial, Tiger Global Management, WiL (World Innovation Lab)",Sendbird,Series C,"$100,000,000 ",4/6/21,2021,Steadfast Financial,"$950,000,000 ","$220,720,000 ",45.31%
Series G - blinkit,Series G,Venture-Growth,"Tiger Global Management, Zomato",blinkit,Series G,"$120,000,000 ",6/29/21,2021,Zomato,"$955,000,000 ","$1,049,098,135 ",11.44%
Series C - Karat,Series C,Late-stage,"8VC, Base Partners, Exor Ventures, HighSage Ventures, Norwest Venture Partners, SemperVirens Venture Capital, Tiger Global Management",Karat,Series C,"$110,000,000 ",10/13/21,2021,Tiger Global Management,"$990,000,000 ","$169,100,000 ",65.05%
Series C - Vercel,Series C,Late-stage,"8VC, Accel, Bedrock, Buckley Ventures, CRV, Flex Capital, Geodesic Capital, Google Ventures, Greenoaks, Latacora, Notable Capital, Salesforce Ventures, Tiger Global Management",Vercel,Series C,"$102,000,000 ",6/23/21,2021,Bedrock,"$998,000,000 ","$563,000,000 ",18.12%
Series C - Apna,Series C,Late-stage,"GSV Ventures, Insight Partners, Maverick Ventures, Owl Ventures, Peak XV Partners, Tiger Global Management",Apna,Series C,"$100,000,000 ",9/15/21,2021,Tiger Global Management,"$1,000,000,000 ","$193,450,000 ",51.69%
Series E - GrubMarket,Series E,Venture-Growth,"Apeira Capital, BlackRock, Blake Coler-Dark, Builders + Backers, Celtic House Asia Partners, Celtic House Venture Partners, Christian Edler, Empede Capital, Flucas Ventures, Gaingels, INP Capital, Japan Post Capital, Joseph Stone Capital, Karman Ventures (fka Moving Capital), Liberty Street Funds, Madison Bay Capital Partners, Marubeni, Moonshots Capital, Moringa Capital Management, Notable Capital, Pegasus Tech Ventures, Reimagined Ventures, Sixty Degree Capital, Step Ahead Capital, Tech Pioneers Fund, The Brkfst Club, The Strand Partners, Tiger Global Management, Trinity Capital, Unbound Ventures, Walleye Capital, We Capital, YTWO",GrubMarket,Series E,"$200,000,000 ",9/14/21,2021,Tiger Global Management,"$1,000,000,000 ","$499,100,000 ",40.07%
Series C - Matrixport,Series C,Late-stage,"A&T Capital, C Ventures, Cachet Group, CE Innovation Capital, CMT Digital, Dragonfly, DST Global, Foresight Ventures, IDG Capital, K3 Ventures, Lightspeed China Partners, Palm Drive Capital, Polychain, Qiming Venture Partners, Tiger Global Management",Matrixport,Series C,"$100,000,000 ",8/2/21,2021,"C Ventures, DST Global, K3 Ventures","$1,000,000,000 ","$138,000,000 ",72.46%
Series B - Amber Group,Series B,Early-stage,"Arena Holdings, Blockchain.com Ventures, China Renaissance, Coinbase Ventures, DCM Ventures, Gobi Partners, L1D, Pantera Capital, Sky9 Capital, Tiger Brokers, Tiger Global Management, Tru Arrow Partners",Amber Group,Series B,"$100,000,000 ",6/20/21,2021,China Renaissance,"$1,000,000,000 ","$628,000,000 ",15.92%
Series C - Rightway,Series C,Late-stage,"Khosla Ventures, Thrive Capital, Tiger Global Management",Rightway,Series C,"$100,000,000 ",3/30/21,2021,Khosla Ventures,"$1,000,000,000 ","$238,749,915 ",41.88%
Series D - Public,Series D,Late-stage,"Accel, Aglaé Ventures, All Blue Capital, Andreas Penna, Austin Hankwitz, Counterpart Advisors, Dreamers VC, Greycroft, Inspired Capital Partners, Intuition Capital, Lakestar, MANTIS Venture Capital, Mark Ladd, Philip DeFranco, Tiger Global Management, Vine Ventures",Public,Series D,"$220,000,000 ",2/15/21,2021,,"$1,000,000,000 ","$308,500,000 ",71.31%
Series B - Mensa Brands,Series B,Early-stage,"Accel, Alpha Wave Global, Norwest Venture Partners, Prosus Ventures, Tiger Global Management",Mensa Brands,Series B,"$135,000,000 ",11/16/21,2021,Alpha Wave Global,"$1,065,000,000 ","$293,894,367 ",45.93%
Series C - Ada,Series C,Late-stage,"Accel, Bessemer Venture Partners, Burst Capital, FirstMark, Giant Ventures, Spark Capital, Tiger Global Management, Version One Ventures",Ada,Series C,"$130,000,000 ",5/7/21,2021,Spark Capital,"$1,070,000,000 ","$190,620,620 ",68.20%
Series C - HeadSpin,Series C,Late-stage,"Akshay Kothari, Alexander Will, Ali Altaf, Amber Feng, Andrea Moore, Dell Technologies Capital, Derek Callow, Gokul Rajaram, ICONIQ Growth, Jason Sew Hoy, Jeff Weiner, John Bonten, Kearny Jackson, Kevin Weil, Manik Gupta, Michael Katz, NextWorld Capital, Nick Candito, Palo Alto Networks, Sand Hill Angels, Sheila Tran, Shiva Rajaraman, Sunil Pai, Thejo Kote, Tiger Global Management",HeadSpin,Series C,"$60,000,000 ",2/25/20,2020,"Dell Technologies Capital, ICONIQ Growth","$1,100,000,000 ","$115,700,000 ",51.86%
Series C - Snyk,Series C,Late-stage,"Amity Ventures, boldstart ventures, Coatue, Global Forward Capital, Salesforce Ventures, Stripes, Tiger Global Management",Snyk,Series C,"$115,000,000 ",1/21/20,2020,Stripes,"$1,100,000,000 ","$1,195,500,000 ",9.62%
Series D - Glossier,Series D,Late-stage,"Forerunner, Greenspring Associates, Index Ventures, IVP, Sequoia Capital, Spark Capital, Thrive Capital, Tiger Global Management",Glossier,Series D,"$100,000,000 ",3/19/19,2019,"Sequoia Capital, Tiger Global Management","$1,100,000,000 ","$266,400,000 ",37.54%
Series E - PharmEasy,Series E,Venture-Growth,"Aditya Puri, Caisse de Depot et Placement du Quebec, Chetan Gopaldas Cholera, Deepak Vaidya, Dharmil Sheth, Dhaval Shah, Eight Roads Ventures India, F-Prime Capital, Hardik Kishor Dedhia, Harsh Shailesh Parekh, LGT group, Prosus Ventures, Shalibhadra Shah, Siddharth Bhaskar Shah, Temasek Holdings, Think Investments, Tiger Global Management, TPG Growth",PharmEasy,Series E,"$390,000,000 ",4/7/21,2021,"Prosus Ventures, TPG Growth","$1,110,000,000 ","$1,658,730,582 ",23.51%
Series B - AgentSync,Series B,Early-stage,"Anthemis, Atreides Management, Craft Ventures, Nine Four Ventures, Tiger Global Management, Valor Equity Partners",AgentSync,Series B,"$75,000,000 ",12/7/21,2021,Valor Equity Partners,"$1,125,000,000 ","$161,100,000 ",46.55%
Series F - VideoAmp,Series F,Venture-Growth,"Ankona Capital Partners, D1 Capital Partners, EPIQ Capital Group, The Spruce House Partnership, Tiger Global Management",VideoAmp,Series F,"$275,000,000 ",10/21/21,2021,"Ankona Capital Partners, The Spruce House Partnership","$1,125,000,000 ","$606,600,000 ",45.33%
Series D - Innovaccer,Series D,Late-stage,"B Capital, Dragoneer Investment Group, M12 - Microsoft's Venture Fund, Mubadala Capital Ventures, OMERS Growth Equity, Steadview Capital, Tiger Global Management",Innovaccer,Series D,"$105,000,000 ",2/19/21,2021,Tiger Global Management,"$1,195,000,000 ","$379,100,000 ",27.70%
Series B - TaxBit,Series B,Early-stage,"9Yards Capital, Anthony Pompliano, Global Founders Capital, Insight Partners, IVP, Madrona, Paradigm, Sapphire Ventures, Tiger Global Management, Tribe Capital",TaxBit,Series B,"$130,000,000 ",8/12/21,2021,"Insight Partners, IVP","$1,200,000,000 ","$253,360,311 ",51.31%
Series C - Outschool,Series C,Late-stage,"Coatue, Lightspeed Venture Partners, Reach Capital, Scale-Up, Tiger Global Management, Union Square Ventures",Outschool,Series C,"$75,000,000 ",4/14/21,2021,"Coatue, Tiger Global Management","$1,225,000,000 ","$240,220,000 ",31.22%
Series D - Papa,Series D,Late-stage,"Anchor Capital GP, Canaan Partners, Initialized Capital, Private Ventures Group, Seven Seven Six, SoftBank Vision Fund, TCG, Tiger Global Management",Papa,Series D,"$150,000,000 ",11/4/21,2021,SoftBank Vision Fund,"$1,250,000,000 ","$241,205,000 ",62.19%
Series D - NotCo,Series D,Late-stage,"Ahmir Khalib Thompson, Bezos Expeditions, DFJ Growth, Endeavor Catalyst, Enlightened Hospitality Investments, Future Positive, Kaszek, L Catterton, Lewis Hamilton, Roger Federer, SOSV, Tiger Global Management, Zoma Capital",NotCo,Series D,"$235,000,000 ",7/26/21,2021,Tiger Global Management,"$1,265,000,000 ","$432,999,995 ",54.27%
Series G - Olive,Series G,Venture-Growth,"Dragoneer Investment Group, Drive Capital, General Catalyst, Google Ventures, Sequoia Capital Global Equities, SVB Capital, Tiger Global Management, Transformation Capital",Olive,Series G,"$225,500,000 ",12/1/20,2020,Tiger Global Management,"$1,274,500,000 ","$856,322,171 ",26.33%
Series G - Chargebee,Series G,Venture-Growth,"Insight Partners, Sapphire Ventures, Steadview Capital, Tiger Global Management",Chargebee,Series G,"$125,000,000 ",4/20/21,2021,"Insight Partners, Sapphire Ventures, Tiger Global Management","$1,275,000,000 ","$468,170,000 ",26.70%
Venture Round - PAX Labs,Venture Round,Late-stage,"ArmaVir Partners, Concrete Hill, Evolution VC Partners, IPD Capital, Irving Investors, Prescott General Partners, Sand Hill Angels, Tao Capital Partners, Tiger Global Management",PAX Labs,Venture - Series Unknown,"$420,000,000 ",4/22/19,2019,"Tao Capital Partners, Tiger Global Management","$1,280,000,000 ","$492,200,000 ",85.33%
Series D - Toast,Series D,Late-stage,"T. Rowe Price, Tiger Global Management",Toast,Series D,"$115,000,000 ",7/10/18,2018,T. Rowe Price,"$1,285,000,000 ","$961,950,000 ",11.95%
Series F - GupShup,Series F,Venture-Growth,Tiger Global Management,GupShup,Series F,"$100,000,000 ",4/8/21,2021,Tiger Global Management,"$1,300,000,000 ","$484,130,000 ",20.66%
Series D - Kong,Series D,Late-stage,"Andreessen Horowitz, CRV, Goldman Sachs, Index Ventures, Notable Capital, Tiger Global Management",Kong,Series D,"$100,000,000 ",2/8/21,2021,Tiger Global Management,"$1,300,000,000 ","$249,100,961 ",40.14%
Series E - Pristyn Care,Series E,Venture-Growth,"Abhiraj Singh Bhal, Deepinder Goyal, Epiq Capital, Hummingbird Ventures, Kunal Shah, Peak XV Partners, Sequoia Capital, Tenacity Ventures, Tiger Global Management, Trifecta Capital, Varun Alagh, Winter Capital",Pristyn Care,Series E,"$96,000,000 ",12/8/21,2021,Sequoia Capital,"$1,304,000,000 ","$177,000,000 ",54.24%
Series C - Moloco,Series C,Late-stage,Tiger Global Management,Moloco,Series C,"$150,000,000 ",8/17/21,2021,Tiger Global Management,"$1,350,000,000 ","$191,568,746 ",78.30%
Series D - Snapdocs,Series D,Late-stage,"Alkeon Capital, F-Prime Capital, Lachy Groom, Maverick Ventures, Quiet Capital, Sequoia Capital, Tiger Global Management, Wellington Management, Y Combinator, Zigg Capital",Snapdocs,Series D,"$150,000,000 ",5/25/21,2021,Tiger Global Management,"$1,350,000,000 ","$253,000,054 ",59.29%
Series C - Allbirds,Series C,Late-stage,"Fidelity, IPD Capital, K2 Global, Mark Vadon, T. Rowe Price, Tiger Global Management",Allbirds,Series C,"$50,000,000 ",10/11/18,2018,T. Rowe Price,"$1,350,000,000 ","$202,450,000 ",24.70%
Series E - Aihuishou,Series E,Venture-Growth,"JD.com, Tiger Global Management",Aihuishou,Series E,"$150,000,000 ",7/12/18,2018,Tiger Global Management,"$1,350,000,000 ","$877,616,962 ",17.09%
Series E - Carta,Series E,Venture-Growth,"Ambition VC, Andreessen Horowitz, Chainfund Capital, Company Ventures, General Global Capital, GS Growth, Haystack, Invicta Growth, Kauffman Fellows Fund, Lightspeed Venture Partners, Menlo Ventures, Meritech Capital Partners, Next Play Capital, NextGen Venture Partners, Nikhil Gopalani, Owl Rock Capital, Sand Hill Angels, Thrive Capital, Tiger Global Management, Tribe Capital, UpVentures Capital",Carta,Series E,"$300,000,000 ",5/6/19,2019,Andreessen Horowitz,"$1,400,000,000 ","$1,157,600,000 ",25.92%
Private Equity Round - Kajabi,Private Equity Round,Venture-Growth,"Meritech Capital Partners, Owl Rock Capital, Spectrum Equity, Tidemark, Tiger Global Management, TPG",Kajabi,Private Equity,"$550,000,000 ",5/4/21,2021,Tiger Global Management,"$1,450,000,000 ","$550,000,000 ",100.00%
Series D - VTEX,Series D,Late-stage,"Bossanova Investimentos, Constellation Asset Management, Endeavor Catalyst, Lone Pine Capital, SoftBank, Tiger Global Management",VTEX,Series D,"$225,000,000 ",9/30/20,2020,"Lone Pine Capital, Tiger Global Management","$1,475,000,000 ","$365,000,000 ",61.64%
Series C - Dutchie,Series C,Late-stage,"Casa Verde Capital, DFJ Growth, Dragoneer Investment Group, Gron Ventures, Howard Schultz, Thrive Capital, Tiger Global Management",Dutchie,Series C,"$200,000,000 ",3/16/21,2021,Tiger Global Management,"$1,500,000,000 ","$603,000,000 ",33.17%
Series D - DispatchHealth,Series D,Late-stage,"Alta Partners, Echo Health Ventures, Humana, Oak HC/FT, Questa Capital Management, Tiger Global Management",DispatchHealth,Series D,"$200,000,000 ",3/3/21,2021,Tiger Global Management,"$1,500,000,000 ","$733,200,000 ",27.28%
Series C - Danke Apartment,Series C,Late-stage,"Ant Group, CMC Capital Group, Gaorong Capital, Joy Capital, Primavera Capital Group, Tiger Global Management",Danke Apartment,Series C,"$500,000,000 ",2/28/19,2019,"Ant Group, Tiger Global Management","$1,500,000,000 ","$874,733,503 ",57.16%
Series E - Spinny,Series E,Venture-Growth,"Abu Dhabi Growth Fund, Arena Holdings, Avenir, Think Investments, Tiger Global Management",Spinny,Series E,"$250,000,000 ",11/24/21,2021,"Abu Dhabi Growth Fund, Avenir, Tiger Global Management","$1,550,000,000 ","$513,470,045 ",48.69%
Series D - SafetyCulture,Series D,Late-stage,"Blackbird Ventures, Index Ventures, Insight Partners, Tiger Global Management",SafetyCulture,Series D,"$73,709,006 ",5/3/21,2021,Insight Partners,"$1,555,647,972 ","$355,064,892 ",20.76%
Series E - ShareChat,Series E,Venture-Growth,"Lightspeed Venture Partners, SAIF Partners, Shunwei Capital, Snap, Tiger Global Management, X (formerly Twitter), Xiaomi",ShareChat,Series E,"$502,000,000 ",4/8/21,2021,"Lightspeed Venture Partners, Tiger Global Management","$1,598,000,000 ","$1,761,474,005 ",28.50%
Series E - ROKT,Series E,Venture-Growth,"Pavilion Capital, Square Peg Capital, Tiger Global Management, Wellington Management, Whale Rock Capital Management",ROKT,Series E,"$325,000,000 ",12/16/21,2021,Tiger Global Management,"$1,625,000,000 ","$487,000,000 ",66.74%
Series C - CoinSwitch,Series C,Late-stage,"Andreessen Horowitz, Coinbase Ventures, Paradigm, Peak XV Partners, Ribbit Capital, Tiger Global Management",CoinSwitch,Series C,"$260,000,000 ",10/6/21,2021,"Andreessen Horowitz, Coinbase Ventures","$1,640,000,000 ","$300,603,815 ",86.49%
Series E - Deliverr,Series E,Venture-Growth,"8VC, Activant Capital, Alumni Ventures, Brookfield Growth, Coatue, Employee Stock Option Fund, GLP, Tiger Global Management",Deliverr,Series E,"$250,000,000 ",11/22/21,2021,Tiger Global Management,"$1,750,000,000 ","$490,949,991 ",50.92%
Series F - Postmates,Series F,Venture-Growth,"BlackRock, EquityZen, General Global Capital, Glynn Capital Management, London Impact Ventures, Manhattan Venture Partners (MVP), Tiger Global Management",Postmates,Series F,"$100,000,000 ",1/10/19,2019,"BlackRock, Glynn Capital Management, Tiger Global Management","$1,750,000,000 ","$762,950,000 ",13.11%
Series D - Loft,Series D,Late-stage,"Advent International, Altimeter Capital, Andreessen Horowitz, Caffeinated Capital, CPP Investments, D1 Capital Partners, DST Global, Fifth Wall, Flight Deck Capital, GIC, monashees, QED Investors, Silver Lake, Silver Lake Waterman, Soros Fund Management, Tarsadia Investments, Tiger Global Management, Vulcan Capital",Loft,Series D,"$425,000,000 ",3/23/21,2021,D1 Capital Partners,"$1,775,000,000 ","$888,000,000 ",47.86%
Series F - InVision,Series F,Venture-Growth,"Atlassian, Battery Ventures, FirstMark, Geodesic Capital, Goldman Sachs, ICONIQ Growth, Spark Capital, Tiger Global Management",InVision,Series F,"$115,000,000 ",12/11/18,2018,Spark Capital,"$1,785,000,000 ","$356,200,000 ",32.29%
Series E - Aviatrix,Series E,Venture-Growth,"CRV, Formation 8, General Catalyst, Greenspring Associates, Ignition Partners, Insight Partners, Liberty Global Ventures, Meritech Capital Partners, TCV, Tiger Global Management, TrueBridge Capital Partners, Unbound Ventures",Aviatrix,Series E,"$200,000,000 ",9/8/21,2021,TCV,"$1,800,000,000 ","$340,800,000 ",58.69%
Series D - Divvy Homes,Series D,Late-stage,"Andreessen Horowitz, Caffeinated Capital, GIC, Moore Capital, Notable Capital, Tiger Global Management",Divvy Homes,Series D,"$200,000,000 ",8/13/21,2021,"Caffeinated Capital, Tiger Global Management","$1,800,000,000 ","$1,225,000,000 ",16.33%
Series D - Relativity Space,Series D,Late-stage,"3L Capital, Allen & Company, Baillie Gifford, Bond, David Hodge, Elad Gil, Fidelity, General Catalyst, ICONIQ Capital, Jared Leto, K5 Global, Lee Fixel, Mark Cuban, Playground Global, Rashaun Williams, Republic capital, Sand Hill Angels, Senator Investment Group, Spencer Rascoff, Tiger Global Management, Tribe Capital, Two Culture Capital, XN",Relativity Space,Series D,"$500,000,000 ",11/17/20,2020,Tiger Global Management,"$1,800,000,000 ","$1,355,719,978 ",36.88%
Series C - Spring Health,Series C,Late-stage,"Able Partners, Empede Capital, Guardian Life, Kinnevik, Northzone, Rethink Impact, RRE Ventures, SemperVirens Venture Capital, The William K. Warren Foundation, Tiger Global Management, True Capital Management, Work-Bench",Spring Health,Series C,"$190,000,000 ",9/16/21,2021,Kinnevik,"$1,810,000,000 ","$466,500,000 ",40.73%
Series E - Cockroach Labs,Series E,Venture-Growth,"Altimeter Capital, Benchmark, Bond, FirstMark, Google Ventures, Greenoaks, Index Ventures, Lone Pine Capital, Tiger Global Management",Cockroach Labs,Series E,"$160,000,000 ",1/12/21,2021,Altimeter Capital,"$1,840,000,000 ","$633,100,000 ",25.27%
Series E - Virta Health,Series E,Venture-Growth,Tiger Global Management,Virta Health,Series E,"$133,000,000 ",4/19/21,2021,Tiger Global Management,"$1,867,000,000 ","$373,000,000 ",35.66%
Series G - Redis,Series G,Venture-Growth,"SoftBank Vision Fund, TCV, Tiger Global Management",Redis,Series G,"$110,000,000 ",4/7/21,2021,Tiger Global Management,"$1,890,000,000 ","$356,800,000 ",30.83%
Series C - Moveworks,Series C,Late-stage,"Alkeon Capital, Bain Capital, ICONIQ Growth, Kleiner Perkins, Lightspeed Venture Partners, Sapphire Ventures, Tiger Global Management",Moveworks,Series C,"$200,000,000 ",6/30/21,2021,"Alkeon Capital, Tiger Global Management","$1,900,000,000 ","$305,000,000 ",65.57%
Series D - Yatsen Holding,Series D,Late-stage,"Boyu Capital, HOPU Investment Management Company, Loyal Valley Capital, The Carlyle Group, Tiger Global Management, Warburg Pincus, ZhenFund",Yatsen Holding,Series D,"$240,000,000 ",3/31/20,2020,Tiger Global Management,"$1,900,000,000 ","$255,000,000 ",94.12%
Venture Round - Perfect Diary,Venture Round,Late-stage,"Boyu Capital, Hony Capital, HOPU Investment Management Company, Tiger Global Management",Perfect Diary,Venture - Series Unknown,"$100,000,000 ",3/1/20,2020,Tiger Global Management,"$1,900,000,000 ","$100,000,000 ",100.00%
Series F - Urban Company,Series F,Venture-Growth,"DF International Partners, Dragoneer Investment Group, Prosus Ventures, Steadview Capital, Tiger Global Management, Vy Capital, Wellington Management",Urban Company,Series F,"$188,000,000 ",4/27/21,2021,"Dragoneer Investment Group, Prosus Ventures, Wellington Management","$1,912,000,000 ","$508,920,356 ",36.94%
Private Equity Round - Nextdoor,Private Equity Round,Venture-Growth,"Benchmark, Bond, K2 Global, Kleiner Perkins, Meyer Global, Riverwood Capital, Tiger Global Management",Nextdoor,Private Equity,"$170,000,000 ",5/14/19,2019,"Bond, Riverwood Capital","$1,930,000,000 ","$723,800,000 ",23.49%
Series C - Mural,Series C,Late-stage,"Gradient, Insight Partners, Tiger Global Management",Mural,Series C,"$50,000,000 ",7/20/21,2021,"Insight Partners, Tiger Global Management","$1,950,000,000 ","$192,275,000 ",26.00%
Series C - Bitso,Series C,Late-stage,"1Sharpe Capital, Bond, Coatue, Invus Opportunities, Kaszek, Pantera Capital, Paradigm, QED Investors, Tiger Global Management, Valor Capital Group",Bitso,Series C,"$250,000,000 ",5/5/21,2021,"Coatue, Tiger Global Management","$1,950,000,000 ","$314,500,000 ",79.49%
Series D - Mambu,Series D,Late-stage,"Acton Capital, Arena Holdings, Bessemer Venture Partners, Runa Capital, TCV, Tiger Global Management",Mambu,Series D,"$134,960,714 ",1/7/21,2021,TCV,"$1,950,795,777 ","$448,322,143 ",30.10%
Series D - Attentive,Series D,Late-stage,"Atomico, Bain Capital Ventures, Coatue, D1 Capital Partners, Frontline Ventures, High Alpha, IVP, NextView Ventures, Sapphire Ventures, Sequoia Capital, Sequoia Capital Global Equities, Sozo Ventures, Tiger Global Management, Wellington Management",Attentive,Series D,"$230,000,000 ",9/23/20,2020,Coatue,"$1,970,000,000 ","$863,000,000 ",26.65%
Series D - 6sense,Series D,Late-stage,"D1 Capital Partners, Insight Partners, Sapphire Ventures, Tiger Global Management",6sense,Series D,"$125,000,000 ",3/30/21,2021,D1 Capital Partners,"$1,975,000,000 ","$526,000,000 ",23.76%
Series D - Current,Series D,Late-stage,"Andreessen Horowitz, Avenir, Elizabeth Street Ventures, Expa, Foundation Capital, Invus Opportunities, Sapphire Ventures, Tiger Global Management, TQ Ventures, Wellington Management",Current,Series D,"$220,000,000 ",4/27/21,2021,Andreessen Horowitz,"$1,980,000,000 ","$402,400,000 ",54.67%
Series D - CRED,Series D,Late-stage,"Alpha Wave Global, Coatue, Dragoneer Investment Group, DST Global, Greenoaks, Insight Partners, RTP Global, Sofina, Tiger Global Management",CRED,Series D,"$214,749,245 ",4/6/21,2021,"Alpha Wave Global, Coatue","$1,985,000,000 ","$801,492,149 ",26.79%
